"","MCH","OCT","ACP","BEN","MBL","IPA","HXA","OIL"
"ab4B",0.339176173367663,0.305927684033243,0.0211291170988857,0.022954867015244,0.0218377107403461,0.30504718363697,0.0254772830841759,0.034790537732371
"ab5B",0.023328993301612,0.238196202915044,0.0479867730424158,0.040921908312936,0.0479867730424158,0.317919650465607,NA,0.0552650540733368
"pb2A",NA,NA,NA,NA,NA,NA,NA,NA
"Or69a",0.635135135135135,0.740786240786241,NA,0.146191646191646,0.343058968058968,NA,0.508599508599509,0.226044226044226
"ac1",0.290872998171031,0.216799750189588,0.298099656510684,0.247513048133113,0.288163001293661,0.249319712718026,0.323392960699469,0.257240130258286
"ac2",0.146938775510204,0.23265306122449,0.26530612244898,0.138775510204082,0.178061224489796,0.144897959183673,0.287755102040816,0.286620408163265
"ac3_noOr35a",0.0943712582395334,0.155188291327233,0.163576847615191,0.132119761535347,0.140508317823305,0.152042582719248,0.182451099263098,0.165577518289869
"Ir31a",NA,NA,NA,NA,NA,NA,NA,0.11104839757639
"Ir41a",NA,NA,NA,NA,NA,NA,NA,0.155006275725315
"Ir75a",NA,NA,NA,NA,NA,NA,NA,0.103712199229567
"Ir75d",NA,NA,NA,NA,NA,NA,NA,0
"Ir76a",NA,NA,NA,NA,NA,NA,NA,0.0377060426182221
"Ir84a",NA,NA,NA,NA,NA,NA,NA,0.163315313808611
"Ir92a",NA,NA,NA,NA,NA,NA,NA,0.0379152454401636
"Ir64a.DC4",NA,NA,NA,NA,NA,NA,NA,0.258500376274201
"Ir64a.DP1m",NA,NA,NA,NA,NA,NA,NA,0.0449057097613656
"ac1BC",NA,NA,NA,0.0174611973392461,NA,NA,NA,0.0252217294900222
"ac2BC",NA,NA,NA,0.0244339314354096,NA,NA,NA,0.0210244663638391
"Or83c",0.15668202764977,0.124423963133641,NA,0.276497695852535,0.230414746543779,0.0921658986175115,0.138248847926267,NA
